,Energy (kcal/mol)
2jqk,-186.62692
2jql,-111.48164
2jsd,31.68275
2jst,42.41112
2jt5,64.88885
2jt6,71.99167
2jup,213.29825
2jxr,119.58881
2k00,-54.72729
2k0g,-40.98277
2k0x,-26.44576
2k1q,42.98599
2k2g,42.54068
2k2r,264.10895
2k31,-233.14317
2k3w,182.84322
2k46,177.61921
2k4i,184.66307
2k62,344.22468
2k7l,585.40654
2kaw,100.40113
2kbr,-526.29807
2kbs,204.38713
2kce,84.86227
2kdh,40.01062
2ke1,-66.68784
2kff,65.53885
2kfg,117.85037
2kfh,136.39083
2kfx,-12.43934
2kgi,-2.17261
2khh,68.88684
2kmx,131.33742
2knh,223.73344
2ko7,-2.18626
2koh,369.02555
2kp8,286.08557
2kpl,-381.98407
2krd,-356.5557
2ks9,76.28213
2ksa,37.99893
2ksb,84.96686
2ksp,589.93882
2kup,-129.89127
2kvm,120.79514
2kwn,-127.20087
2kzu,172.51337
2l0i,101.0147
2l11,60.99969
2l12,91.15011
2l1b,146.63028
2l1r,85.31326
2l3r,-43.50327
2l65,360.16772
2l6e,92.27256
2l6j,111.22168
2l75,-31.99752
2l7u,224.12261
2l84,79.52418
2l8j,379.06389
2l8r,-20.31549
2l98,5.76596
2las,-75.83647
2lbm,60.79292
2lbv,21.0914
2lcs,246.93167
2lct,879.91502
2lgf,209.11644
2lh8,-36.34682
2lha,2500.34784
2liq,209.81301
2lk1,82.10222
2lkk,12.4203
2lko,882.72765
2ll6,214.46673
2ll7,340.60537
2llo,36.60497
2llq,51.23966
2lnw,425.46241
2lo6,315.6862
2loz,69.30286
2lp8,-181.04637
2lpr,
2lsk,225.96527
2lsp,2.78958
2lsr,-164.88913
2lsv,386.0649
2lto,160.22248
2ltv,79.55892
2ltw,54.56343
2ltx,96.32306
2lty,92.53092
2ltz,87.91376
2lwi,83.59697
2ly0,42.76557
2lya,-113.36864
2lyb,-83.83407
2lyw,-331.06545
2lzg,55.43477
2m0o,159.25733
2m0u,-257.07591
2m0v,-260.1626
2m3m,-533.41674
2m3o,231.07784
2m3z,43.58497
2m41,346.14818
2mas,97.33506
2mc1,508.16322
2mg5,156.71611
2mip,115.92455
2mji,100.58176
2mkr,353.67026
2mlm,55.99248
2mnz,-69.76521
2mov,-129.38551
2mow,311.89185
2mpa,-27.507
2mpm,629.02066
2mps,404.9228
2ms4,61.31571
2mwo,208.74839
2mwp,137.09236
2mwy,222.70142
2n06,123.78757
2n0u,118.35669
2n0w,100.05657
2n14,110.04096
2n1g,216.51647
2n27,4.43476
2n3k,-373.75718
2n7b,287.95348
2n8t,139.04685
2n9e,776.38897
2n9x,751.76512
2nbk,576.41819
2ncz,97.17585
2nd0,318.4485
2ndf,72.53651
2ndg,62.47704
2ndo,2.64313
2nm1,-176.55805
2nmb,144.686
2nmx,-67.64959
2nmy,140.27531
2nmz,137.52346
2nn1,-59.10447
2nn7,-65.63838
2nn8,168.09127
2nnd,58.62305
2nng,-34.95739
2nnk,139.4529
2nno,-57.83528
2nnp,141.23267
2nnq,172.81935
2nns,-65.44746
2nnv,-66.26553
2no3,-70.87674
2np8,-40.71686
2np9,-22.88475
2nq6,-7.34733
2nq7,33.04177
2nqg,-137.82435
2nqi,-95.0344
2nsj,165.65956
2nsl,165.01112
2nsx,40.86016
2nt7,97.21843
2nta,-117.88594
2ntf,-17.4733
2nv7,80.78342
2nw4,42.12609
2nwl,-55.47138
2nwn,-304.43306
2nww,36.56217
2nxd,149.40563
2nxl,128.34596
2nxm,46.37926
2nyr,570.17897
2o0u,60.68002
2o1c,193.68975
2o1v,7.3967
2o22,59.7445
2o2u,41.02223
2o3p,52.46912
2o3z,37.87891
2o48,23.64206
2o4h,143.10744
2o4j,99.16146
2o4k,109.3547
2o4l,123.24396
2o4n,122.29362
2o4p,122.67866
2o4r,100.22014
2o4s,27.17372
2o4z,-129.72707
2o5d,-29.24816
2o5k,-13.57962
2o63,54.214
2o64,76.00312
2o65,33.16337
2o7e,-47.56894
2o7n,33.29799
2o7v,-43.92921
2o8h,76.07038
2o9a,72.57163
2o9i,140.26573
2o9j,66.63376
2o9k,-8.12674
2o9r,169.65816
2o9v,213.45409
2oa0,69.79596
2oag,67.93879
2oah,-80.95383
2oax,79.47249
2oaz,-11.45895
2obf,26.75623
2obj,26.36773
2obo,72.16378
2oc0,53.9006
2oc1,147.43172
2oc2,108.71222
2oc4,5.36127
2oc7,27.11227
2oc9,-0.1497
2odd,253.58995
2oei,234.04891
2of2,265.73237
2of4,213.97339
2off,91.33484
2ofu,217.14203
2ofv,-13.53678
2og8,49.16335
2ogy,120.47042
2ogz,71.27027
2oh0,105.63114
2oh4,-54.80645
2ohk,-3.91176
2ohl,-17.28755
2ohm,19.94242
2ohp,-0.55185
2ohq,28.40772
2ohr,46.29409
2ohs,73.15982
2oht,39.39337
2ohu,77.24258
2ohv,-11.11284
2oi0,15.41563
2oi2,109.07998
2oi3,235.61502
2oi9,126.89689
2oic,187.70262
2oiq,188.53993
2oj9,146.27456
2ojf,123.9043
2ojg,14.6417
2oji,10.32883
2ojj,31.2242
2ok1,5.03657
2olb,132.68572
2ole,105.68345
2on3,98.10166
2on6,11.53961
2onb,200.71409
2onc,-24.34482
2ony,10.96491
2onz,10.91254
2oo8,69.22825
2ooh,64.24617
2ooz,30.22581
2op3,76.11488
2op9,10.86757
2opb,47.95258
2oph,49.32851
2opy,93.73233
2oq6,202.43104
2oqi,72.72872
2oqs,-310.10884
2oqv,62.09907
2or4,-82.82141
2or9,65.57375
2ork,-1.17837
2os9,113.73794
2osc,66.93686
2osf,2.07037
2osm,15.53009
2ot1,11.23948
2ou7,-87.06748
2ov4,193.75856
2ovq,169.57552
2ovv,62.35481
2ovx,16.58825
2ovy,95.24245
2ovz,32.91954
2ow0,59.73424
2ow1,98.7137
2ow2,-27.75384
2ow3,19.05307
2ow6,71.96322
2ow7,56.84864
2ow9,-30.03506
2owb,176.83305
2oxd,-7.49693
2oxn,82.1295
2oxx,10.55039
2oxy,29.1041
2oyk,131.01315
2oyl,171.10611
2oym,113.05108
2oz2,76.0894
2oz5,112.13341
2oz6,-38.96958
2oz7,95.41327
2ozr,18.12774
2p09,96.61147
2p0d,373.24294
2p0x,118.34906
2p15,101.06619
2p16,81.23565
2p1c,156.73789
2p2a,27.54818
2p2h,-34.97465
2p2i,53.5257
2p33,-122.28295
2p3a,71.88683
2p3b,77.78931
2p3c,69.86358
2p3d,73.64169
2p3g,42.00498
2p3i,158.17838
2p3o,-428.94525
2p4i,74.73236
2p4j,-9.6438
2p4s,-60.5312
2p4y,150.66762
2p53,-13.0439
2p59,136.5806
2p7a,7.48058
2p7g,43.0922
2p7z,98.65284
2p83,44.42583
2p8h,-0.32994
2p8n,-5.07826
2p8o,
2p8s,146.65522
2p93,38.44142
2p94,74.44331
2p95,51.61142
2p98,136.76107
2p99,91.29616
2p9a,91.87516
2pax,5.60384
2pbw,88.9793
2pcp,37.10286
2pcu,-107.51177
2pe0,27.98632
2pe1,-57.77826
2pe2,-34.54047
2peh,-132.47241
2pem,152.30112
2pfy,30.33096
2pg2,17.65439
2pgj,-41.38611
2pgl,-40.4267
2pgz,20.27214
2ph6,45.71642
2ph8,5.82637
2ph9,56.69693
2phb,29.8577
2pix,64.92508
2piy,-11.88424
2piz,-139.71205
2pj0,-164.04802
2pj1,10.84145
2pj2,-7.99539
2pj3,-127.70904
2pj4,-162.53819
2pj5,-166.50702
2pj6,-18.2078
2pj7,5.15853
2pj8,32.90708
2pj9,-10.36288
2pja,-152.75767
2pjb,-45.06182
2pjc,-147.56026
2pjl,53.38341
2pjt,4.54884
2pk5,152.3709
2pk6,190.52748
2pks,9.06649
2pl0,187.3396
2pl9,314.65913
2pll,
2pmc,33.06777
2pmk,76.04388
2pmn,37.87614
2pnc,-64.94627
2pnx,39.79146
2pog,36.77697
2poq,99.66314
2pou,-167.55577
2pov,-134.65224
2pow,-134.84671
2pq9,590.0938
2pqb,590.0701
2pqc,702.08979
2pqj,-5.07828
2pql,27.96087
2pqz,41.39346
2pr9,389.28707
2pre,-199.63559
2pri,-40.85948
2prj,53.39252
2psj,108.60667
2psu,-4.47976
2psv,7.56777
2psx,-88.35213
2pt9,91.67737
2ptz,-4.37207
2pu0,-4.38404
2pu1,108.6132
2pu2,90.56958
2puy,-70.77644
2pv1,88.04362
2pv2,-44.29265
2pv3,179.33828
2pvh,43.63949
2pvj,3.49007
2pvk,16.30342
2pvl,92.05953
2pvm,40.07508
2pvn,32.49493
2pvu,-6.12456
2pvv,83.4879
2pvw,269.29102
2pwc,19.11306
2pwd,102.87173
2pwg,122.57007
2pwr,22.10172
2py4,-214.6976
2pyi,87.66016
2pym,116.19947
2pyn,117.53599
2pyy,-9.11199
2pze,105.1653
2pzi,-10.0719
2pzy,6.19502
2q11,-61.35778
2q15,-87.59381
2q1j,70.81302
2q1l,45.18287
2q1q,-80.56801
2q2a,-187.8014
2q2c,-8.44082
2q2n,688.85745
2q2y,223.39321
2q2z,209.95031
2q38,-86.20068
2q3z,97.75411
2q54,74.63484
2q55,-10.61469
2q5k,29.45818
2q63,117.34082
2q64,118.20064
2q6b,54.81779
2q6c,100.06374
2q6f,42.93686
2q6h,57.77985
2q70,32.43756
2q72,57.85874
2q7m,156.29634
2q7o,2.38821
2q7q,12.32629
2q7y,127.21194
2q80,40.28805
2q88,26.03649
2q89,60.22472
2q8g,148.20189
2q8h,81.935
2q8i,64.95025
2q8m,-22.87303
2q8s,94.83362
2q8y,138.44857
2q8z,-108.39274
2q92,86.86847
2q93,80.30423
2q94,75.61091
2q95,87.9751
2q96,71.22388
2q9m,103.61347
2q9n,113.82938
2q9y,39.94206
2qa8,36.58041
2qaf,-77.85456
2qbp,146.88627
2qbq,187.44696
2qbr,173.78557
2qbs,154.60274
2qbu,69.1994
2qbw,89.67186
2qbx,-230.14704
2qc6,64.47577
2qcd,-77.67011
2qcf,-51.72002
2qcg,-54.91767
2qch,-103.23643
2qci,-14.40051
2qcm,-79.92838
2qcn,-77.63033
2qd6,-14.24116
2qd7,-14.53992
2qd8,-14.27129
2qd9,113.62172
2qdt,30.31137
2qe2,89.76191
2qe4,47.25657
2qe5,51.07444
2qf6,-199.8702
2qfo,-47.87396
2qft,42.19717
2qfu,42.21344
2qg0,-138.32463
2qg2,-41.81518
2qh6,29.63226
2qhc,27.54501
2qhd,17.95247
2qhm,40.33978
2qhn,32.07025
2qhr,-450.67946
2qhy,-6.24814
2qhz,-29.04004
2qi0,42.62989
2qi1,35.86663
2qi3,66.95125
2qi4,43.4785
2qi5,35.10841
2qi6,41.72425
2qi7,23.76334
2qic,-114.08956
2qiq,-32.93824
2qju,56.93056
2qk5,73.12181
2qk8,119.61866
2qki,-73.3123
2qky,143.31276
2ql5,-108.04115
2ql7,11.80703
2ql9,-103.05775
2qlb,-49.85532
2qlf,-108.38004
2qlj,8.35625
2qlm,19.42363
2qln,39.72148
2qlq,-2.03226
2qm7,-227.58671
2qm9,17.34264
2qmd,112.62225
2qmf,99.08008
2qmg,133.74651
2qmj,296.19357
2qn1,201.83512
2qn2,172.52081
2qn3,16.95737
2qnb,17.41859
2qnn,80.64416
2qnp,48.02728
2qnq,16.67526
2qnx,-10.94609
2qnz,-8.48858
2qo1,-6.59506
2qo8,-48.43744
2qoa,-48.49852
2qoe,125.07068
2qoh,91.78675
2qp6,-50.80522
2qp8,60.5354
2qpj,49.00626
2qpq,234.5314
2qpu,286.32752
2qq7,-14.21187
2qqs,-118.84755
2qrg,155.62678
2qrh,148.18056
2qrk,-0.34324
2qrl,202.41774
2qrm,185.8629
2qrp,154.74766
2qrq,145.2968
2qry,-158.71116
2qt5,88.08969
2qt9,54.57227
2qta,-171.54626
2qtb,68.95526
2qtg,66.06102
2qtn,67.67874
2qtr,14.13318
2qtt,53.77314
2qtu,43.87816
2qu2,-175.83533
2qu3,-153.41135
2qu5,28.99869
2qu6,64.77937
2qv7,42.16889
2qve,42.48701
2qw1,87.8915
2qwb,151.44671
2qwc,101.8301
2qwd,14.25351
2qwe,-145.63918
2qwf,-176.33177
2qwg,-28.71018
2qx0,-23.17396
2qyk,157.31873
2qyl,156.99786
2qyn,156.87919
2qzk,124.06116
2qzl,24.98889
2qzr,-100.55782
2qzx,33.65957
2r02,-81.12346
2r03,50.43001
2r05,-89.45296
2r0h,197.9611
2r0u,89.02687
2r0y,-26.50306
2r0z,-101.29194
2r1w,156.63142
2r1x,279.26151
2r1y,274.96442
2r23,430.22557
2r2b,643.76293
2r2l,49.06042
2r2m,-11.42956
2r2w,-107.18315
2r38,21.79146
2r3c,21.75431
2r3f,129.16069
2r3g,86.70388
2r3h,6.4113
2r3i,125.88756
2r3j,135.17562
2r3k,73.6778
2r3l,41.34563
2r3m,3.46698
2r3n,152.45254
2r3o,125.1514
2r3p,135.83512
2r3t,22.74212
2r3w,19.89091
2r3y,134.40284
2r43,19.15769
2r4b,36.59372
2r4f,106.62294
2r58,2.95024
2r59,60.3433
2r5a,-3.41657
2r5b,-57.15424
2r5d,-19.51631
2r5p,283.25678
2r5q,117.35418
2r64,46.59717
2r6f,45.72144
2r6n,197.56842
2r6w,103.29931
2r6y,102.36402
2r75,-158.2293
2r7b,62.49849
2r7g,91.65178
2r8q,-122.07842
2r9b,208.2453
2r9m,-8.53148
2r9s,112.54063
2r9w,118.90989
2r9x,79.64771
2ra0,107.033
2ra6,7.49267
2rc8,-3.49837
2rc9,-5.63666
2rcb,-3.49564
2rcn,-235.21092
2rcu,-65.24959
2rcw,6.60773
2rcx,
2rd6,8.8749
2reg,39.07609
2rf2,-87.65189
2rfh,-7.22037
2rfn,166.38285
2rfy,170.72327
2rg5,-44.49302
2rg6,-25.81516
2rgp,42.7455
2rgu,-80.7106
2ri9,79.41727
2ria,100.94302
2rib,109.53799
2rin,37.73923
2rio,38.92926
2rip,103.89004
2rjp,103.4373
2rjr,79.46553
2rjs,58.39079
2rk7,277.27049
2rk8,422.99281
2rka,107.78669
2rkd,105.05806
2rke,47.00767
2rkf,28.3676
2rkg,27.68774
2rkm,66.7348
2rkn,-63.92372
2rku,24.06886
2rl5,65.7113
2rly,214.21936
2rm0,227.4421
2rnw,-47.33305
2rnx,61.29384
2rny,-424.59064
2rok,-581.09167
2rol,-44.68928
2rox,66.9013
2rqu,395.81725
2rr4,-112.13202
2rt5,624.68176
2rvn,73.71602
2sfp,2.2037
2sim,95.41434
2srt,-121.81881
2std,-18.77304
2tmn,-183.94737
2toh,8.83033
2tpi,27.02185
2tsr,83.81506
2upj,26.43371
2usn,-69.38198
2uue,-15.4744
2uuo,87.64798
2uup,127.62337
2uvm,1134.55414
2uw0,26.21805
2uw3,29.58273
2uw4,43.32573
2uw5,86.79443
2uw6,88.43574
2uw7,66.06362
2uw8,73.00757
2uwd,53.31768
2uwl,-11.03643
2uwo,-2.1527
2uwp,-4.50382
2uxi,32.34761
2uxu,25.0875
2uxx,-34.67463
2uxz,156.65608
2uy0,118.19297
2uy3,-77.99944
2uy4,-63.48122
2uy5,3.83656
2uyi,18.72667
2uym,28.3394
2uyn,79.5159
2uyq,66.13024
2uyw,-29.97403
2uz6,-47.69023
2uz9,-156.23382
2uzb,-95.30175
2uzd,-116.57708
2uze,-20.62602
2uzj,-201.44293
2uzl,-131.61952
2uzn,-106.04388
2uzo,-112.16315
2uzv,122.90808
2v00,-101.53391
2v0c,
2v0n,-507.92162
2v0z,60.43298
2v10,89.71241
2v11,115.78362
2v12,46.57821
2v13,30.33052
2v16,22.99537
2v22,-12.87292
2v25,-52.94104
2v2c,107.15301
2v2h,107.86548
2v2q,-30.87742
2v2v,-20.99228
2v3d,114.59074
2v3e,116.36717
2v3u,-3.52481
2v54,-118.08367
2v57,29.8844
2v58,-94.83461
2v59,-76.88848
2v5a,-72.89092
2v5x,113.0414
2v6n,34.90886
2v77,343.28156
2v7a,158.82315
2v7d,-165.26748
2v83,-97.1338
2v85,-36.62322
2v86,-55.92873
2v87,68.47168
2v88,51.44548
2v8w,-220.33233
2v95,131.01328
2v96,
2va5,-105.35887
2va6,-171.51802
2va7,-150.40256
2vaq,141.01006
2vb8,20.69235
2vba,10.89857
2vc7,6.05215
2vc9,75.18794
2vcb,107.22647
2vcg,54.27975
2vci,117.13172
2vcj,122.70626
2vcq,36.73535
2vcw,46.2519
2vcx,44.5376
2vd0,43.59576
2vd1,46.59844
2vd4,104.02838
2vd7,149.64753
2ves,58.31834
2veu,-63.21354
2vev,-66.51319
2vew,-65.73541
2vex,-70.54769
2vey,-103.33612
2vf6,459.01377
2vfk,-6.04693
2vfz,-125.07527
2vgc,
2vgo,-34.80654
2vgp,-4.91536
2vh0,-8.35295
2vh6,10.05817
2vhj,42.26207
2vhq,93.10604
2vi5,-9.29374
2vie,68.10718
2vin,41.48103
2vio,18.02564
2vip,63.10898
2viq,75.42711
2viv,56.69777
2viw,88.24492
2viy,108.33554
2viz,84.87346
2vj1,31.1438
2vj6,74.97984
2vj7,93.10412
2vj8,66.26001
2vj9,61.73879
2vjx,27.46578
2vk2,40.71369
2vk6,95.55523
2vkm,46.29007
2vl1,3.79103
2vl4,4.28895
2vl8,-63.55333
2vle,159.10577
2vmc,65.14873
2vmd,104.70888
2vmf,77.56057
2vnf,-85.74148
2vnm,58.06413
2vnn,41.29594
2vnp,-142.74365
2vnt,-183.67059
2vo4,56.42573
2vo5,119.1639
2vo7,12.77376
2vot,108.3824
2vpe,-39.15682
2vpg,-6.67219
2vpn,26.05309
2vpo,60.28899
2vpp,13.77874
2vqj,117.62292
2vqm,66.44141
2vqt,93.26272
2vr0,47.22417
2vr3,111.62912
2vr4,80.48319
2vrj,56.17519
2vrx,117.00772
2vsl,103.899
2vt3,71.96456
2vta,24.36847
2vtd,110.90382
2vte,130.15165
2vth,-47.67143
2vti,-56.83184
2vtj,-14.69376
2vtl,-5.34619
2vtm,45.59361
2vtn,-24.2562
2vto,10.4263
2vtp,-4.63099
2vtq,-29.2289
2vtr,81.7793
2vts,51.76118
2vtt,-1.29246
2vu3,-23.16862
2vuk,23.55272
2vur,121.39794
2vv9,29.96
2vvc,133.17118
2vvn,24.34238
2vvo,23.95736
2vvs,86.78663
2vvt,69.22383
2vvu,99.76568
2vvv,4.10086
2vw1,92.38059
2vw2,-62.91287
2vw5,-0.74034
2vwc,44.36736
2vwf,-334.49739
2vwl,125.92287
2vwm,42.79901
2vwn,142.14095
2vwo,128.61916
2vwu,43.06978
2vwv,-86.30614
2vww,1.54565
2vwx,-120.19716
2vwy,-19.35746
2vwz,-92.36277
2vx0,29.72891
2vx1,-54.61314
2vx9,68.00448
2vxa,68.6082
2vxj,268.74898
2vxn,-42.8505
2vyt,-3.81125
2vzr,112.97305
2w05,-78.51651
2w06,-61.32099
2w08,-116.9971
2w0d,46.47681
2w0j,-91.38432
2w0p,55.50687
2w0s,-122.13799
2w0x,149.66927
2w0z,80.9322
2w10,133.01623
2w12,38.25891
2w16,110.1168
2w17,26.53248
2w1c,113.35393
2w1d,19.51713
2w1e,52.86928
2w1f,42.9477
2w1g,59.21958
2w1h,43.23776
2w1i,58.15974
2w26,61.46718
2w2i,149.67873
2w2u,-63.52532
2w3i,6.06172
2w3k,57.92348
2w3l,166.71652
2w3o,177.32318
2w47,210.55409
2w4i,176.50286
2w4x,39.05918
2w54,-3.15932
2w5g,83.38294
2w5i,112.40446
2w66,94.37372
2w67,74.30988
2w68,333.78803
2w6c,98.40381
2w6m,-8.74084
2w6n,-23.96
2w6o,-9.9324
2w6p,-78.18307
2w6q,-231.82599
2w6t,294.82533
2w6u,179.91748
2w6z,21.74544
2w70,-124.3684
2w71,-64.31855
2w73,-14.14046
2w76,93.68824
2w77,302.24037
2w78,290.92457
2w7x,-59.49498
2w7y,221.98795
2w85,68.52046
2w87,107.21026
2w8f,107.30827
2w8g,106.29826
2w8j,99.17003
2w8w,98.93907
2w8y,82.41498
2w92,86.75739
2w97,39.71958
2w9h,-73.93592
2w9r,255.93643
2wa3,100.84814
2wa4,37.96998
2wa8,-56.2253
2waj,73.0739
2wap,37.81788
2wb5,69.76598
2wbb,-160.23736
2wbd,-160.45533
2wbg,16.99803
2wc3,20.04362
2wc4,22.85641
2wca,86.93696
2wcg,-61.92653
2wcx,53.34256
2wd1,79.0733
2wd3,-21.06417
2wd7,-28.9133
2we3,-44.12861
2web,68.40213
2wec,90.30405
2wed,102.44391
2weg,-74.61901
2weh,-64.43778
2wei,34.39282
2wej,-54.68643
2weo,-67.71432
2weq,33.638
2wer,64.70177
2wev,-59.81645
2wey,115.24281
2wez,90.56618
2wf0,147.62914
2wf1,14.98705
2wf2,117.03346
2wf3,41.89627
2wf4,29.08014
2wf5,-11.40447
2wfg,
2wfj,249.4998
2wgi,47.29455
2wgj,12.7312
2wgs,-63.64117
2who,104.62107
2whp,21.16404
2wi1,-82.45816
2wi2,-177.32705
2wi3,-177.25143
2wi4,-29.29029
2wi5,-1.68409
2wi6,-93.40324
2wi7,-49.68259
2wib,-226.69526
2wic,-379.98843
2wig,-54.31127
2wih,83.14356
2wij,-58.75417
2wik,-62.28922
2wj1,88.48958
2wj2,82.2257
2wjg,-229.82521
2wji,-380.56035
2wk2,269.73646
2wk6,-78.33435
2wks,140.51849
2wkt,-2.18995
2wky,22.19833
2wkz,160.17992
2wl0,158.82318
2wl4,-19.73879
2wl5,-21.12479
2wly,171.5061
2wlz,155.50083
2wm0,211.43295
2wmr,-45.24884
2wmu,-5.44689
2wmv,80.68353
2wmw,154.86425
2wmx,180.68406
2wn9,72.48331
2wnc,40.72929
2wnj,86.87117
2wnl,42.98899
2wo8,39.13529
2wo9,57.44929
2woa,52.33369
2won,53.80964
2woq,-18.10475
2wor,74.4734
2wos,66.98417
2wot,120.77617
2wou,-42.15735
2wp1,-118.56445
2wpa,-49.5912
2wpb,61.45453
2wq4,
2wq5,88.72709
2wqb,23.04046
2wqp,138.27045
2wr8,67.8172
2wsx,-53.23316
2wtc,32.08358
2wtd,32.9057
2wti,87.743
2wtj,102.74716
2wtv,34.1167
2wtw,-66.27729
2wtx,-61.5012
2wu6,-25.83206
2wu7,63.0404
2wuf,164.72385
2wuu,-30.03156
2wva,-56.92031
2wvt,113.48988
2wvz,98.22201
2ww0,115.33342
2ww2,103.22379
2wwj,262.01935
2wxd,102.74646
2wxf,13.87163
2wxg,46.87721
2wxh,70.9319
2wxi,38.16359
2wxj,48.86712
2wxk,49.00512
2wxl,-35.31312
2wxm,5.66559
2wxn,-12.14809
2wxo,48.01463
2wxp,105.42047
2wxq,88.28347
2wxv,-125.03684
2wyf,197.36312
2wyg,-21.88167
2wyi,93.63389
2wyj,-22.84637
2wyn,203.09287
2wzf,-67.96363
2wzm,36.54953
2wzs,76.30891
2wzx,-142.71484
2wzy,123.69921
2wzz,-143.61428
2x00,74.46429
2x09,194.07874
2x0y,-95.11355
2x24,-8.58534
2x2c,246.95313
2x2i,301.35596
2x2k,16.35461
2x2l,36.83765
2x2m,27.74465
2x2r,72.20975
2x38,61.41822
2x39,-4.08752
2x3t,-9.31558
2x4o,231.52445
2x4r,126.83297
2x4s,127.56665
2x4t,169.80773
2x4u,92.59722
2x4z,-65.59328
2x52,47.68647
2x5o,88.40305
2x6d,248.01123
2x6e,225.08148
2x6f,-26.68437
2x6i,-121.49064
2x6j,-168.94847
2x6k,77.3949
2x6w,477.87916
2x6x,319.37046
2x6y,482.09247
2x7c,-61.12908
2x7d,-137.79816
2x7o,73.56222
2x7s,-73.49131
2x7t,-174.65488
2x7u,-23.7059
2x7x,108.87306
2x81,33.73106
2x85,479.26802
2x8d,52.12544
2x8e,63.05387
2x8i,61.51916
2x8z,52.23207
2x91,39.99632
2x95,72.93812
2x96,113.38664
2x97,52.59926
2x9e,18.00408
2x9f,-27.23984
2xa4,-7.87971
2xab,79.18798
2xae,102.44646
2xaf,-20.99605
2xag,-19.67519
2xah,-9.48808
2xaj,-31.56433
2xaq,-122.89593
2xas,-22.21873
2xb7,207.65958
2xb8,99.84911
2xb9,99.58796
2xba,118.36701
2xbj,48.61387
2xbp,121.80533
2xbv,37.50919
2xbw,-188.00383
2xbx,-26.19477
2xc0,-18.42688
2xc4,106.66136
2xcg,29.0968
2xch,-14.64174
2xck,76.70361
2xcn,
2xcs,86.80377
2xct,105.73238
2xd6,58.37071
2xd9,125.8935
2xda,142.16544
2xde,98.04418
2xdk,-73.83348
2xdl,28.74257
2xdm,
2xdw,7.70232
2xdx,-85.50484
2xe4,-373.45857
2xef,442.89756
2xeg,345.23177
2xei,299.61962
2xej,257.84325
2xel,28.26054
2xey,46.85343
2xez,41.79067
2xf0,48.15844
2xfi,99.66662
2xfj,74.19759
2xfk,87.60088
2xg3,147.66663
2xg5,116.00142
2xg9,198.93167
2xgm,-69.452
2xgo,-102.97194
2xgs,56.3301
2xh5,36.63292
2xhm,80.42686
2xhr,-12.501
2xhs,45.25302
2xht,79.27412
2xhx,54.11909
2xi7,81.91289
2xib,80.59063
2xii,131.67907
2xix,-45.7448
2xiy,13.2439
2xiz,-0.23325
2xj0,-84.14301
2xj1,-5.99125
2xj2,47.26744
2xj7,73.62365
2xjg,58.03585
2xjj,63.6378
2xjx,222.43337
2xk1,
2xk3,67.06075
2xk4,165.6368
2xk6,109.21429
2xk7,119.86934
2xk8,166.38402
2xk9,16.43748
2xkc,164.48862
2xkd,158.85153
2xke,68.81694
2xkf,109.27599
2xl2,196.03411
2xl3,300.6875
2xlc,-28.86855
2xln,
2xm1,55.40137
2xm2,82.97004
2xm8,36.16747
2xm9,29.79055
2xml,202.67442
2xmy,-71.61708
2xn3,56.87616
2xn5,-53.04682
2xn6,157.90565
2xn7,161.2548
2xnb,46.01635
2xne,123.86266
2xng,160.78046
2xni,
2xnm,71.17442
2xnn,70.64237
2xno,94.61212
2xnp,105.28383
2xo8,24.99639
2xog,-75.6679
2xoi,-96.21688
2xow,31.52934
2xp2,24.04274
2xp3,80.78513
2xp4,-4.2225
2xp5,102.83098
2xp6,-9.56471
2xp7,144.97567
2xp8,72.17041
2xpa,19.81042
2xpb,20.6604
2xpc,61.52676
2xpk,64.19282
2xqq,-87.54745
2xru,87.59287
2xrw,6.35167
2xs0,-148.06783
2xs8,-154.22021
2xsb,63.92934
2xtk,-64.36434
2xtn,-189.46661
2xto,-220.92348
2xu1,74.99474
2xu3,77.57979
2xu4,73.45993
2xu5,76.88393
2xuc,-291.95673
2xuf,158.93855
2xui,158.64933
2xup,157.6587
2xuz,99.74681
2xv1,25.11902
2xvd,42.83091
2xvn,-269.62033
2xwd,22.09907
2xwe,42.76387
2xwy,144.23356
2xx2,28.77969
2xx4,23.21467
2xx5,1.05885
2xxn,253.68972
2xxr,-46.21219
2xxt,5.91336
2xxw,-45.04771
2xxx,-46.42656
2xxy,1.60179
2xy9,99.24325
2xyd,97.7656
2xye,155.34347
2xyf,131.90783
2xyn,43.13044
2xyr,71.78867
2xys,19.85988
2xyt,245.96311
2xyu,91.31691
2xz5,25.57597
2xzc,38.46388
2xzg,29.84445
2xzq,-79.1191
2xzw,130.78255
2y06,111.77193
2y07,194.61917
2y0j,82.55994
2y1d,72.5794
2y1g,75.4273
2y1n,269.06068
2y1o,100.7562
2y1w,87.85463
2y1x,159.27457
2y2h,
2y2i,
2y2j,
2y2k,
2y2n,
2y2p,
2y34,124.8855
2y36,134.99024
2y3p,200.21381
2y4a,
2y4k,-241.80398
2y4l,-227.07131
2y4m,-234.81869
2y4s,643.31856
2y54,38.90678
2y55,
2y56,96.03859
2y57,71.73045
2y58,120.86012
2y59,
2y5f,41.42127
2y5g,15.37533
2y5h,21.95427
2y5k,-267.88896
2y5l,-174.26853
2y67,54.42999
2y68,137.87336
2y6c,43.67813
2y6d,-1.73274
2y6o,61.83356
2y6s,215.9003
2y71,141.31413
